Day,Total
2018-02-27,5
2018-02-28,2
2018-03-03,2
2018-03-04,2
2018-03-07,1
2018-03-12,4
2018-03-13,2
2018-03-14,8
2018-03-15,2
2018-03-16,3
2018-03-20,2
2018-03-21,7
2018-03-22,10
2018-03-23,4
2018-03-24,1
2018-03-26,3
2018-03-27,3
2018-03-28,7
2018-03-29,16
2018-03-30,1
2018-04-01,2
2018-04-02,3
2018-04-03,7
2018-04-04,10
2018-04-05,1
2018-04-06,2
2018-04-07,1
2018-04-08,4
2018-04-09,2
2018-04-10,11
2018-04-11,2
2018-04-12,1
2018-04-16,11
2018-04-17,1
2018-04-18,3
2018-04-19,2
2018-04-21,1
2018-04-22,1
2018-04-23,3
2018-04-24,3
2018-04-26,3
2018-04-28,2
2018-04-30,2
2018-05-01,3
2018-05-02,1
2018-05-08,2
2018-05-09,1
2018-05-10,1
2018-05-11,4
2018-05-12,1
2018-05-13,1
2018-05-14,11
2018-05-15,21
2018-05-16,6
2018-05-17,9
2018-05-18,6
2018-05-19,2
2018-05-20,3
2018-05-21,6
2018-05-22,6
2018-05-23,5
2018-05-24,7
2018-05-25,2
2018-05-26,2
2018-05-28,2
2018-05-29,5
2018-05-30,6
2018-05-31,2
2018-06-05,1
2018-06-06,1
2018-06-07,1
2018-06-08,2
2018-06-09,2
2018-06-11,10
2018-06-12,1
2018-06-13,10
2018-06-14,4
2018-06-15,3
2018-06-19,5
2018-06-20,4
2018-06-21,2
2018-06-22,2
2018-06-24,1
2018-06-26,4
2018-06-27,4
2018-06-29,2
2018-06-30,1
2018-07-03,1
2018-07-04,5
2018-07-05,3
2018-07-06,6
2018-07-07,2
2018-07-09,3
2018-07-10,1
2018-07-11,6
2018-07-12,4
2018-07-13,2
2018-07-16,4
2018-07-17,8
2018-07-18,4
2018-07-19,5
2018-07-20,2
2018-07-22,1
2018-07-24,2
2018-07-25,2
2018-07-27,2
2018-08-01,11
2018-08-02,11
2018-08-03,12
2018-08-05,2
2018-08-07,4
2018-08-08,2
2018-08-09,4
2018-08-10,3
2018-08-12,2
2018-08-13,6
2018-08-14,7
2018-08-15,5
2018-08-16,11
2018-08-17,4
2018-08-18,3
2018-08-20,10
2018-08-21,3
2018-08-22,3
2018-08-25,1
2018-08-26,1
2018-08-27,3
2018-08-28,3
2018-08-29,3
2018-08-30,2
2018-08-31,6
2018-09-01,4
2018-09-03,12
2018-09-04,10
2018-09-05,5
2018-09-06,16
2018-09-07,4
2018-09-08,2
2018-09-09,1
2018-09-10,7
2018-09-11,2
2018-09-12,6
2018-09-13,7
2018-09-14,6
2018-09-15,2
2018-09-17,5
2018-09-18,11
2018-09-19,4
2018-09-23,1
2018-09-24,1
2018-09-25,6
2018-09-26,4
2018-09-27,2
2018-09-28,2
2018-10-01,3
2018-10-02,1
2018-10-03,2
2018-10-04,10
2018-10-05,2
2018-10-09,3
2018-10-10,8
2018-10-11,5
2018-10-12,7
2018-10-13,2
2018-10-14,1
2018-10-15,3
2018-10-16,2
2018-10-17,1
2018-10-18,4
2018-10-19,8
2018-10-20,12
2018-10-21,5
2018-10-22,1
2018-10-23,25
2018-10-24,2
2018-10-27,3
2018-10-29,5
